Size C S Time
100 1184 0 0.0005710780000000026
200 2854 0 0.0013730789999999993
300 4944 0 0.0024221320000000213
400 7338 0 0.00358114899999995
500 8858 0 0.004268054000000077
600 11726 0 0.005414609000000015
700 14708 0 0.006697151000000012
800 19064 0 0.008637276000000083
900 18962 0 0.008674664000000054
1000 22138 0 0.010137546999999913
1100 22724 0 0.010432247999999977
1200 26160 0 0.012019390000000074
1300 32556 0 0.014616363999999993
1400 32482 0 0.014371146000000001
1500 33902 0 0.015322331000000022
1600 39978 0 0.01781080800000001
1700 40702 0 0.018501745000000014
1800 42892 0 0.019418843000000074
1900 48158 0 0.021518781000000042
2000 48822 0 0.021697288999999897
2100 56818 0 0.025300063000000206
2200 52642 0 0.02373491400000005
2300 60358 0 0.027156616000000078
2400 64510 0 0.028723597000000156
2500 60812 0 0.02714708499999996
2600 65556 0 0.02947024999999992
2700 87588 0 0.038858210999999976
2800 73198 0 0.033863297000000125
2900 74470 0 0.033723276000000135
3000 78248 0 0.035169298000000015
3100 86096 0 0.03809176499999989
3200 82388 0 0.03938493600000004
3300 94104 0 0.04196321699999994
3400 103986 0 0.045772723999999876
3500 88744 0 0.039762111999999794
3600 92886 0 0.040992970999999656
3700 103614 0 0.045915310000000265
3800 117198 0 0.05074674499999965
3900 118914 0 0.05246107799999988
4000 123486 0 0.0544726790000003
4100 108850 0 0.050961540999999944
4200 115424 0 0.051387098999999825
4300 127120 0 0.05679730999999988
4400 131910 0 0.05799041500000035
4500 116722 0 0.05245301300000005
4600 126808 0 0.056218534999999736
4700 129006 0 0.05703886300000027
4800 137088 0 0.06090371799999961
4900 128692 0 0.05748641500000007
5000 135946 0 0.06036013099999993
5100 142514 0 0.06402301899999996
5200 143848 0 0.06411062299999992
5300 150772 0 0.06647814000000007
5400 164492 0 0.07191730699999965
5500 152398 0 0.06750959900000009
5600 161540 0 0.07224279999999972
5700 158138 0 0.07043316499999985
5800 164302 0 0.0729300730000002
5900 167190 0 0.08537648799999964
6000 163462 0 0.07385010099999967
6100 172932 0 0.0772149879999997
6200 188470 0 0.08279747499999957
6300 177906 0 0.07914595000000002
6400 183436 0 0.08066967800000047
6500 187836 0 0.08336232100000007
6600 193032 0 0.08629798299999969
6700 187550 0 0.08229457400000051
6800 195646 0 0.08719015399999996
6900 190080 0 0.08447515300000052
7000 217248 0 0.09471459900000045
7100 198400 0 0.08826559900000053
7200 218558 0 0.09841963999999948
7300 219224 0 0.0976147049999998
7400 221900 0 0.09658251400000051
7500 217948 0 0.10051957800000011
7600 222714 0 0.10280718799999988
7700 219492 0 0.09963363800000025
7800 230046 0 0.1021290790000009
7900 248650 0 0.11134146500000064
8000 244458 0 0.10720866499999993
8100 234290 0 0.10493021899999988
8200 240126 0 0.1058876350000002
8300 246922 0 0.1118363010000003
8400 246722 0 0.10849853900000106
8500 268656 0 0.1182537779999997
8600 254054 0 0.11441751400000122
8700 278100 0 0.12219927200000136
8800 294588 0 0.127875594999999
8900 253160 0 0.11152473699999987
9000 291754 0 0.1285328099999994
9100 268322 0 0.11921852499999908
9200 276126 0 0.12277987999999951
9300 270248 0 0.1197910689999997
9400 291344 0 0.1326476490000008
9500 293690 0 0.13297900600000112
9600 294286 0 0.1298600719999996
9700 305070 0 0.13306551099999986
9800 301956 0 0.1355869769999991
9900 294842 0 0.13099929400000043
10000 309802 0 0.13688821300000065
