Size C S Time
10 12 10 2.565799999998397e-05
50 175 129 8.943699999997001e-05
100 312 192 0.00012096000000000329
500 2070 751 0.000783674000000012
1000 2336 1118 0.000762413999999989
5000 27336 16304 0.010145609999999972
10000 40048 14504 0.012314826000000001
50000 167490 66697 0.06220312100000003
100000 376358 190405 0.16322889899999993
