Size C S Time
100 1006 287 0.00033025600000002875
200 2756 600 0.0008129940000000113
300 4345 1084 0.0012231570000000302
400 5745 1479 0.001770408000000001
500 8367 2088 0.002415159
600 9834 2669 0.0028557439999999934
700 12053 3579 0.0036856010000000383
800 12685 3828 0.0037347180000000257
900 17362 5104 0.004887499000000017
1000 16166 4844 0.004707525000000046
1100 18256 5462 0.0055278509999999725
1200 20513 5703 0.0061861640000000495
1300 21230 7076 0.006082798
1400 24967 7384 0.0069610380000000305
1500 29731 8478 0.008688193999999982
1600 33274 9342 0.00905437099999995
1700 32062 9198 0.008944775000000016
1800 34531 9982 0.009741274000000022
1900 36510 10878 0.010627945000000083
2000 37218 11533 0.010432576999999998
2100 40167 12516 0.011219546999999941
2200 43828 13398 0.012105484
2300 46672 13541 0.012542037999999978
2400 48983 14634 0.013519244000000041
2500 47126 14509 0.013700684000000019
2600 49436 15252 0.014227774000000082
2700 60355 19443 0.01638928400000017
2800 57858 17801 0.01639771500000009
2900 59448 19559 0.018253161000000073
3000 59755 18106 0.028252849999999885
3100 61267 20435 0.018198912000000123
3200 62737 20001 0.017723138000000027
3300 74487 22936 0.023613134999999952
3400 72774 22190 0.020084415000000133
3500 71660 22704 0.020850859000000055
3600 79675 24145 0.021656155999999926
3700 78769 24966 0.022024167000000094
3800 76744 25062 0.02169207800000006
3900 81596 26202 0.022663418999999907
4000 84173 27850 0.02374252500000007
4100 83750 28226 0.02363072899999996
4200 93525 30928 0.026103435000000008
4300 94079 29555 0.02557524500000019
4400 90903 29010 0.02547187899999992
4500 102006 31903 0.02803768799999995
4600 103943 32019 0.02866741099999981
4700 93424 32284 0.027347486000000032
4800 103176 33693 0.02847277600000009
4900 105612 34778 0.028834187999999816
5000 108645 37245 0.030479238000000297
5100 112008 36084 0.031226253999999898
5200 114966 36928 0.03205464400000002
5300 118454 39697 0.03276757200000002
5400 121877 38310 0.03293141799999999
5500 115985 38792 0.032555710000000015
5600 127823 39795 0.03466700399999967
5700 133792 42050 0.036800657000000125
5800 130946 42940 0.03656570299999995
5900 128108 41657 0.03599315999999986
6000 135928 43278 0.036765469000000106
6100 143272 44957 0.03877449699999991
6200 138133 45367 0.038091625000000295
6300 141170 46798 0.03891818099999966
6400 162575 52543 0.04407252499999981
6500 155058 47625 0.04288015699999992
6600 153840 47839 0.042228073999999616
6700 146186 47179 0.04116546299999957
6800 152908 51078 0.04254330299999953
6900 162237 53197 0.046097313999999834
7000 157856 54934 0.049169685999999935
7100 167437 53099 0.046211675999999535
7200 157822 50897 0.04484593200000031
7300 163374 53260 0.04610537699999995
7400 176569 57759 0.05042876499999949
7500 166197 52097 0.04633593400000002
7600 178379 56893 0.04889404499999994
7700 179485 56783 0.048981648999999905
7800 181258 59796 0.05020700599999994
7900 195705 63215 0.05354585500000031
8000 185005 59391 0.051894573999999416
8100 194282 64077 0.055525927000000586
8200 180043 58280 0.04997644899999987
8300 189025 61363 0.052171682
8400 208842 65648 0.05615784899999987
8500 188046 64252 0.05254445799999985
8600 217685 70869 0.05902788800000014
8700 197916 63498 0.05398680800000033
8800 221226 72924 0.061757175999999525
8900 219874 71752 0.06027523800000001
9000 209125 68752 0.058248983000000365
9100 217771 67948 0.05970929399999925
9200 225090 73713 0.061948145000000565
9300 239622 75400 0.06440545599999936
9400 231727 75103 0.06468549599999918
9500 220079 71484 0.060254712000000765
9600 248909 79220 0.06787076400000025
9700 223753 75098 0.06158453299999955
9800 241656 79124 0.06625943599999928
9900 233102 74841 0.06587236600000068
10000 242007 79797 0.06590278799999894
