Size C S Time
100 820 165 0.0006044309999999609
200 2166 364 0.0013635439999999943
300 3449 586 0.0021461159999999757
400 5029 838 0.0032662740000000134
500 6929 1061 0.004345013000000009
600 7969 1333 0.004976202000000041
700 9670 1634 0.006361371999999976
800 12000 1847 0.007636945000000006
900 13508 2102 0.008436011999999993
1000 15031 2380 0.009442907999999917
1100 17137 2658 0.010944273000000004
1200 20139 2904 0.012533240999999973
1300 20178 3217 0.012866063000000039
1400 21610 3505 0.013692252999999988
1500 23543 3794 0.015311277999999984
1600 25030 4136 0.016216275999999974
1700 27696 4344 0.017325071000000025
1800 29463 4630 0.018881050999999927
1900 32832 4914 0.02058144899999992
2000 33442 5233 0.022568118000000026
2100 35295 5556 0.02231923399999991
2200 39678 5730 0.026707500000000106
2300 38161 6133 0.024131062000000147
2400 40707 6358 0.02569070699999987
2500 42270 6694 0.026779341999999984
2600 44214 7011 0.0281538830000001
2700 47349 7240 0.029625923
2800 47517 7712 0.030013359999999878
2900 49845 7970 0.03151435899999999
3000 54044 8210 0.03400026100000009
3100 53338 8615 0.03384557900000007
3200 63957 8719 0.04033120899999987
3300 57649 9201 0.036789659999999946
3400 61583 9433 0.038979762000000084
3500 61634 9871 0.03926273299999994
3600 63254 10173 0.04057422799999988
3700 68820 10330 0.04377122499999997
3800 67648 10801 0.04295493200000022
3900 75029 10901 0.047711574000000034
4000 75972 11268 0.0477218370000001
4100 74590 11780 0.047553226999999865
4200 76689 12114 0.05039321099999983
4300 83974 12229 0.053993772000000106
4400 83120 12567 0.05361146700000008
4500 82671 13044 0.05195212200000032
4600 87992 13162 0.0553994689999997
4700 90902 13403 0.05777137599999982
4800 95998 13940 0.06012385500000006
4900 92309 14235 0.05852645600000006
5000 93062 14723 0.05860672900000008
5100 98310 14851 0.061664440000000376
5200 94548 15528 0.060225020999999934
5300 106200 15297 0.06740122100000034
5400 105100 15719 0.06587933000000001
5500 108326 16000 0.06820321899999993
5600 105004 16656 0.0663235809999998
5700 113330 16705 0.07129721800000066
5800 110799 17263 0.07024780199999991
5900 113576 17386 0.07297525599999943
6000 121875 17531 0.07713039899999963
6100 118052 18271 0.07522986900000017
6200 124942 18530 0.07907051700000078
6300 126340 18614 0.08032409900000026
6400 122520 19420 0.07815379100000008
6500 124654 19570 0.07943816099999967
6600 127126 19975 0.08148567700000076
6700 129960 20236 0.08322932599999966
6800 132067 20541 0.08446531299999993
6900 137683 20803 0.08822092299999973
7000 138225 21211 0.08867690399999972
7100 146080 21224 0.09141682099999926
7200 150542 21674 0.09479489100000027
7300 149055 22126 0.09588902600000004
7400 149641 22438 0.09404090999999948
7500 155633 22631 0.09719612099999964
7600 149929 23298 0.09514970599999995
7700 156327 23370 0.09853913900000055
7800 159755 23697 0.09994263599999975
7900 152975 24487 0.09647256299999984
8000 164401 24541 0.10386025900000107
8100 161860 24912 0.10172660499999964
8200 166493 24996 0.1044899810000004
8300 168150 25678 0.1059708189999995
8400 168002 25856 0.10567795100000055
8500 174346 26031 0.11006804800000047
8600 178636 26244 0.11174498799999988
8700 179684 27015 0.11265218499999996
8800 183995 27286 0.11642648900000019
8900 184367 27523 0.11617723900000065
9000 185701 27913 0.11637810499999901
9100 198130 27996 0.1236309120000012
9200 191620 28430 0.12141515399999925
9300 188044 29035 0.11840436000000132
9400 206582 28748 0.12978152099999996
9500 199883 29413 0.12447359699999971
9600 196458 29781 0.1248987880000012
9700 208854 30500 0.14445501299999997
9800 202277 30694 0.12764713600000022
9900 224736 30704 0.1404765440000002
10000 216554 30995 0.13544535999999852
